Date,Inside,Outside,Setpoint,Mode,Relay,Heating
2026-01-01 00:00:10,20.48,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:00:20,20.46,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:00:30,20.44,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:00:40,20.42,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:00:50,20.40,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:01:00,20.38,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:01:10,20.36,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:01:20,20.35,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:01:30,20.33,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:01:40,20.31,5.00,20.50,AUTO,OFF,NO
2026-01-01 00:01:50,20.29,5.00,20.50,AUTO,ON,YES
2026-01-01 00:02:00,20.30,5.00,20.50,AUTO,ON,YES
2026-01-01 00:02:10,20.31,5.00,20.50,AUTO,ON,YES
2026-01-01 00:02:20,20.32,5.00,20.50,AUTO,ON,YES
2026-01-01 00:02:30,20.34,5.00,20.50,AUTO,ON,YES
